,word,etymology
1031,iġṭas yiġṭas,0
1032,išhaḳ yišhuḳ,0
1033,išher yišhur,0
1034,iškek,0
1035,išlaf yišluf,0
1036,išlaʕ yišluʕ,0
1037,išlaḥ yišluḥ,0
1038,išlaḳ yišluḳ,0
1039,išleḳ,0
1040,išmaṭ yišmuṭ,0
1041,išmeʕ yišmaʕ,0
1042,išnaḳ yišnuḳ,0
1043,išneḳ,0
1044,išram yišrum,0
1045,išraḥ yišruḥ,0
1046,išw/išwi yišw/yišwi,0
1047,išč/išči yišč,0
1048,iščaḥ yiščaḥ,0
1049,iščaḳ yiščaḳ,0
1050,iščhi yiščhi,0
1051,iščki yiščki,0
1052,iščlaḳ yiščlaḳ,0
1053,iščrak yiščrak,0
1054,iščwi yiščwi,0
1055,iščġel yiščġel,0
1056,išġel,0
1057,išōrča/ašōrča,0
1058,išḥaṭ yišḥuṭ,0
